Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8
113	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_bakedis2,15.00,0.00,175,175)	pic(DBear_rice8,-15.00,0.00,175,175)	pic(DBear_figur109,0.00,15.00,175,175)
114	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_146R_crop_8000,-15.00,0.00,175,175)	pic(DBear_praymant,15.00,0.00,175,175)	pic(DBear_footsto7,0.00,-15.00,175,175)	pic(DBear_casket2,0.00,15.00,175,175)
115	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_212R_crop_8000,0.00,-15.00,175,175)	pic(DBear_dresser5,0.00,15.00,175,175)	pic(DBear_endt103,-15.00,0.00,175,175)	pic(DBear_94Supra4,15.00,0.00,175,175)
116	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_sushi8,0.00,-15.00,175,175)	pic(DBear_gardeng8,0.00,15.00,175,175)	pic(DBear_house2,15.00,0.00,175,175)
117	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_barrelv4,0.00,-15.00,175,175)	pic(DBear_ovenmit7,-15.00,0.00,175,175)	pic(DBear_surprisf,15.00,0.00,175,175)
118	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,15.00,0.00,175,175)	pic(DBear_rollinpi,0.00,15.00,175,175)	pic(DBear_house2,-15.00,0.00,175,175)	pic(DBear_deskla38,0.00,-15.00,175,175)
119	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_36R_crop_8000,0.00,15.00,175,175)	pic(DBear_brooch45,15.00,0.00,175,175)	pic(DBear_brush26,-15.00,0.00,175,175)	pic(DBear_antcont3,0.00,-15.00,175,175)
120	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,-15.00,0.00,175,175)	pic(DBear_radioa18,15.00,0.00,175,175)	pic(DBear_denply2,0.00,-15.00,175,175)	pic(DBear_broach43,0.00,15.00,175,175)
121	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,-15.00,175,175)	pic(DBear_garlic2,0.00,15.00,175,175)	pic(DBear_saphiri2,-15.00,0.00,175,175)	pic(DBear_chesset2,15.00,0.00,175,175)
122	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,0.00,15.00,175,175)	pic(DBear_lantern,15.00,0.00,175,175)	pic(DBear_brush28,-15.00,0.00,175,175)	pic(DBear_87nation,0.00,-15.00,175,175)
123	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,15.00,0.00,175,175)	pic(DBear_pearlbro,0.00,-15.00,175,175)	pic(DBear_pearlbro,-15.00,0.00,175,175)	pic(DBear_jagss103,0.00,15.00,175,175)
124	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,0.00,-15.00,175,175)	pic(DBear_shavingb,0.00,15.00,175,175)	pic(DBear_mask55,-15.00,0.00,175,175)	pic(DBear_meather3,15.00,0.00,175,175)
125	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_212R_crop_8000,-15.00,0.00,175,175)	pic(DBear_kalanch4,0.00,15.00,175,175)	pic(DBear_tongs15,0.00,-15.00,175,175)	pic(DBear_tractwh5,15.00,0.00,175,175)
126	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_146R_crop_8000,0.00,15.00,175,175)	pic(DBear_brooch36,-15.00,0.00,175,175)	pic(DBear_walkta38,15.00,0.00,175,175)	pic(DBear_knifecol,0.00,-15.00,175,175)
127	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,0.00,-15.00,175,175)	pic(DBear_fishlu5,15.00,0.00,175,175)	pic(DBear_antiqr14,-15.00,0.00,175,175)	pic(DBear_crockj17,0.00,15.00,175,175)
128	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_212R_crop_8000,15.00,0.00,175,175)	pic(DBear_tablam29,0.00,-15.00,175,175)	pic(DBear_earphon8,-15.00,0.00,175,175)	pic(DBear_salami,0.00,15.00,175,175)
129	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_165R_crop_8000,15.00,0.00,175,175)	pic(DBear_neklace2,0.00,15.00,175,175)	pic(DBear_nutcrac6,-15.00,0.00,175,175)	pic(DBear_denply2,0.00,-15.00,175,175)
130	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_cricket4,15.00,0.00,175,175)	pic(DBear_bathoil2,0.00,15.00,175,175)	pic(DBear_honeyjar,-15.00,0.00,175,175)
131	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_brooch36,0.00,15.00,175,175)	pic(DBear_kettle29,0.00,-15.00,175,175)	pic(DBear_67polic3,-15.00,0.00,175,175)
132	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_frenchf3,0.00,15.00,175,175)	pic(DBear_antiqr41,0.00,-15.00,175,175)	pic(DBear_cabine60,15.00,0.00,175,175)
133	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_110R_crop_8000,15.00,0.00,175,175)	pic(DBear_cellpho2,0.00,15.00,175,175)	pic(DBear_screw7,0.00,-15.00,175,175)	pic(DBear_orienjar,-15.00,0.00,175,175)
134	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_146R_crop_8000,0.00,-15.00,175,175)	pic(DBear_pictfr24,-15.00,0.00,175,175)	pic(DBear_chesset2,15.00,0.00,175,175)	pic(DBear_patient,0.00,15.00,175,175)
135	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_146R_crop_8000,0.00,15.00,175,175)	pic(DBear_doll11,15.00,0.00,175,175)	pic(DBear_eleccas3,0.00,-15.00,175,175)	pic(DBear_antfry13,-15.00,0.00,175,175)
136	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_printer1,0.00,15.00,175,175)	pic(DBear_wicker3,0.00,-15.00,175,175)	pic(DBear_steakdi2,15.00,0.00,175,175)
137	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,0.00,15.00,175,175)	pic(DBear_fishho17,0.00,-15.00,175,175)	pic(DBear_fish21,15.00,0.00,175,175)	pic(DBear_salami,-15.00,0.00,175,175)
138	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_129R_crop_8000,0.00,15.00,175,175)	pic(DBear_cricket4,-15.00,0.00,175,175)	pic(DBear_africs17,0.00,-15.00,175,175)	pic(DBear_maccompu,15.00,0.00,175,175)
139	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,0.00,15.00,175,175)	pic(DBear_radio14,-15.00,0.00,175,175)	pic(DBear_pumpdec,0.00,-15.00,175,175)	pic(DBear_wreathri,15.00,0.00,175,175)
140	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_194R_crop_8000,0.00,-15.00,175,175)	pic(DBear_bakedis2,15.00,0.00,175,175)	pic(DBear_antcont3,0.00,15.00,175,175)	pic(DBear_antiqu14,-15.00,0.00,175,175)
141	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_doll175,0.00,15.00,175,175)	pic(DBear_flowers5,-15.00,0.00,175,175)	pic(DBear_alarmsy8,15.00,0.00,175,175)
142	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_smgirlr2,15.00,0.00,175,175)	pic(DBear_razor9,-15.00,0.00,175,175)	pic(DBear_67polic3,0.00,-15.00,175,175)
143	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_129R_crop_8000,-15.00,0.00,175,175)	pic(DBear_footst13,0.00,15.00,175,175)	pic(DBear_fishlu38,0.00,-15.00,175,175)	pic(DBear_turkey10,15.00,0.00,175,175)
144	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_20R_crop_8000,-15.00,0.00,175,175)	pic(DBear_bakingp6,0.00,-15.00,175,175)	pic(DBear_hyponee4,0.00,15.00,175,175)	pic(DBear_cherry,15.00,0.00,175,175)
145	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,0.00,15.00,175,175)	pic(DBear_bracel31,-15.00,0.00,175,175)	pic(DBear_mask42,15.00,0.00,175,175)	pic(DBear_seastar4,0.00,-15.00,175,175)
146	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,-15.00,0.00,175,175)	pic(DBear_sagrabuq,15.00,0.00,175,175)	pic(DBear_hyponee4,0.00,15.00,175,175)	pic(DBear_hyponee4,0.00,-15.00,175,175)
147	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_eleccas3,0.00,15.00,175,175)	pic(DBear_screw21,15.00,0.00,175,175)	pic(DBear_94speed2,0.00,-15.00,175,175)
148	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_cheesgr4,-15.00,0.00,175,175)	pic(DBear_coppan3,0.00,-15.00,175,175)	pic(DBear_rollinpi,0.00,15.00,175,175)
149	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,0.00,15.00,175,175)	pic(DBear_rook4,15.00,0.00,175,175)	pic(DBear_goldpin,0.00,-15.00,175,175)	pic(DBear_neklace2,-15.00,0.00,175,175)
150	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_pearlbro,15.00,0.00,175,175)	pic(DBear_hyponee4,0.00,-15.00,175,175)	pic(DBear_towelra2,0.00,15.00,175,175)
151	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_129R_crop_8000,-15.00,0.00,175,175)	pic(DBear_nightab3,0.00,15.00,175,175)	pic(DBear_pearlnec,15.00,0.00,175,175)	pic(DBear_salami,0.00,-15.00,175,175)
152	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,-15.00,0.00,175,175)	pic(DBear_snowman6,0.00,15.00,175,175)	pic(DBear_wickba74,15.00,0.00,175,175)	pic(DBear_94ZR-1,0.00,-15.00,175,175)
153	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,15.00,175,175)	pic(DBear_raceca20,15.00,0.00,175,175)	pic(DBear_meather3,-15.00,0.00,175,175)	pic(DBear_towels,0.00,-15.00,175,175)
154	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,-15.00,0.00,175,175)	pic(DBear_antfry13,0.00,-15.00,175,175)	pic(DBear_downhils,0.00,15.00,175,175)	pic(DBear_96gt,15.00,0.00,175,175)
155	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,-15.00,0.00,175,175)	pic(DBear_pictfr24,0.00,-15.00,175,175)	pic(DBear_paintb16,0.00,15.00,175,175)	pic(DBear_keys5,15.00,0.00,175,175)
156	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_silvrin5,0.00,15.00,175,175)	pic(DBear_antcar3,-15.00,0.00,175,175)	pic(DBear_denply2,0.00,-15.00,175,175)
157	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_tajmaha2,-15.00,0.00,175,175)	pic(DBear_bed20,0.00,-15.00,175,175)	pic(DBear_receive6,0.00,15.00,175,175)
158	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_165R_crop_8000,15.00,0.00,175,175)	pic(DBear_doll11,-15.00,0.00,175,175)	pic(DBear_crown5,0.00,-15.00,175,175)	pic(DBear_tractwh5,0.00,15.00,175,175)
159	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_scale36,0.00,-15.00,175,175)	pic(DBear_hoopeari,0.00,15.00,175,175)	pic(DBear_blackpo3,-15.00,0.00,175,175)
160	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,-15.00,175,175)	pic(DBear_backpa11,-15.00,0.00,175,175)	pic(DBear_goldcon6,0.00,15.00,175,175)	pic(DBear_chesset2,15.00,0.00,175,175)
161	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,0.00,15.00,175,175)	pic(DBear_mallard3,15.00,0.00,175,175)	pic(DBear_praymant,-15.00,0.00,175,175)	pic(DBear_dresser5,0.00,-15.00,175,175)
162	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_36R_crop_8000,15.00,0.00,175,175)	pic(DBear_broach43,0.00,-15.00,175,175)	pic(DBear_bakedis2,0.00,15.00,175,175)	pic(DBear_cellpho2,-15.00,0.00,175,175)
163	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_36R_crop_8000,15.00,0.00,175,175)	pic(DBear_antfryi4,0.00,-15.00,175,175)	pic(DBear_footst13,0.00,15.00,175,175)	pic(DBear_bullmask,-15.00,0.00,175,175)
164	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_20R_crop_8000,15.00,0.00,175,175)	pic(DBear_razor9,0.00,-15.00,175,175)	pic(DBear_seccamer,-15.00,0.00,175,175)	pic(DBear_cooking3,0.00,15.00,175,175)
165	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,0.00,-15.00,175,175)	pic(DBear_doll71,-15.00,0.00,175,175)	pic(DBear_ham,0.00,15.00,175,175)	pic(DBear_94ZR-1,15.00,0.00,175,175)
166	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_165R_crop_8000,-15.00,0.00,175,175)	pic(DBear_bracel31,0.00,-15.00,175,175)	pic(DBear_endtab33,15.00,0.00,175,175)	pic(DBear_iron8,0.00,15.00,175,175)
167	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_circboa7,0.00,-15.00,175,175)	pic(DBear_briefc55,-15.00,0.00,175,175)	pic(DBear_ladyhat7,15.00,0.00,175,175)
168	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,15.00,175,175)	pic(DBear_praymant,0.00,-15.00,175,175)	pic(DBear_radioa18,15.00,0.00,175,175)	pic(DBear_pineapp6,-15.00,0.00,175,175)
